gene,best_cluster,log2fc,pval_adj,significant
FAP,9,2.808,2.0700863639619742e-24,True
CD276,3,2.838,5.566406810729789e-75,True
EPHA2,6,2.305,0.00021100952230701682,True
FOLR1,3,4.481,5.013212981699491e-33,True
MUC1,9,4.005,0.6389156972994021,False
ERBB2,9,2.817,3.434238948330397e-07,True
EGFR,9,4.068,3.1433889577211347e-37,True
MET,9,2.679,1.364259143928182e-07,True
PDGFRA,5,4.367,3.6775595555121167e-149,True
KIT,6,5.791,9.395190483085949e-07,True
PDCD1,1,4.276,1.592260330207341e-07,True
CD274,1,2.49,0.9375413319130642,False
CTLA4,1,4.945,5.873347888975319e-08,True
HAVCR2,0,2.851,3.0051426636164203e-66,True
LAG3,7,4.799,2.366541374541701e-20,True
TIGIT,7,2.703,0.001454056074115624,True
